name,amenity,main_cuisine,lat,lon,has_outdoor_seating,has_wifi,is_wheelchair_accessible
La Qchara de Pachi Chamartín,restaurant,unknown,40.4768521,-3.6753137,False,False,False
Muxia,restaurant,unknown,40.3738592,-3.645467,False,False,False
La Manzana,restaurant,unknown,40.4115471,-3.77872,False,False,False
Gainza,restaurant,unknown,40.3478745,-3.6938322,False,False,False
Peña Francia,restaurant,spanish,40.3492857,-3.6997727,False,False,False
El Asador de Enrique,restaurant,unknown,40.348488,-3.7018541,False,False,False
Superfuüd,restaurant,spanish,40.4520651,-3.6807011,False,False,False
Revival Café Madrid,restaurant,unknown,40.4661374,-3.8094691,False,False,False
Filandón,restaurant,spanish,40.5048209,-3.7167503,False,False,False
El Bosque,bar,unknown,40.4558661,-3.6740056,False,False,False
Restaurante Los Amigos,restaurant,unknown,40.4511971,-3.5833598,False,False,False
Restaurante Casa Luis,restaurant,unknown,40.4514584,-3.5818492,False,False,False
Pepe's Mesón Restaurante,restaurant,unknown,40.4828587,-3.6704199,False,False,False
La Negra Tomasa,restaurant,cuban,40.4158435,-3.702398,False,False,True
La Chuleteria de las Cárcavas,restaurant,steak_house,40.4820112,-3.6357799,True,False,False
Fortuny Home Club,restaurant,unknown,40.4345811,-3.68997,False,False,False
Island Club Lounge,bar,unknown,40.3871623,-3.7521277,False,False,False
Kalenda,restaurant,unknown,40.3872557,-3.7521838,False,False,False
Asador Pikondo,restaurant,regional,40.3873668,-3.7522253,False,False,False
Casa Narcisa,restaurant,unknown,40.4719234,-3.6871222,False,False,False
Kiosco El Madroño,cafe,unknown,40.3752292,-3.7553054,True,False,False
La Parrilla Del Pinar,restaurant,unknown,40.4833104,-3.6676942,False,False,False
Beef Place Restaurante,restaurant,unknown,40.4589881,-3.6582654,False,False,False
,restaurant,unknown,40.4472205,-3.7030843,False,False,False
Grence,cafe,spanish,40.3522148,-3.6990001,False,False,False
Cervecería San Miguel,cafe,unknown,40.3524844,-3.69781,False,False,False
Laumar,cafe,spanish,40.3526051,-3.7009341,False,False,False
Los Ángeles,cafe,unknown,40.3551356,-3.6979756,False,False,False
La Vega,cafe,unknown,40.3560126,-3.6975824,False,False,False
La Pinilla,cafe,unknown,40.3547142,-3.6977291,False,False,False
Gallardo,restaurant,unknown,40.3548451,-3.6995041,False,False,False
Casa Conel,restaurant,unknown,40.3543029,-3.6986993,False,False,False
Atalaya,cafe,unknown,40.3560711,-3.6984345,False,False,False
Renato,restaurant,unknown,40.3506214,-3.7044437,False,False,False
Restaurante Sal Negra,restaurant,spanish,40.4676102,-3.6812086,False,False,False
Museo del Jamón,restaurant,spanish,40.4163433,-3.7056737,False,False,False
Chiquita,restaurant,unknown,40.4158038,-3.7060361,False,False,False
Barra,bar,unknown,40.4158992,-3.7058118,False,False,False
Botín,restaurant,unknown,40.4141745,-3.707981,False,False,False
La Taberna de la Daniela,restaurant,unknown,40.4144651,-3.7079513,False,False,False
Las Cuevas de Luis Candelas,restaurant,unknown,40.4148583,-3.7081461,False,False,False
Cafetería,cafe,unknown,40.4624309,-3.7499526,False,False,False
Café de La Paloma,restaurant,unknown,40.458553,-3.7164705,False,False,False
Cervecería Sureste,bar,unknown,40.3642449,-3.5889171,False,False,False
Cañas y tapas,restaurant,unknown,40.4326414,-3.7041461,False,False,False
El Rosario,bar,unknown,40.4035341,-3.690538,False,False,False
Autoservicio,restaurant,unknown,40.3825225,-3.798808,False,False,False
Casa Club de Golf,cafe,unknown,40.3828778,-3.8016482,False,False,False
El Mirador,bar,unknown,40.3971353,-3.6553332,False,False,False
,bar,unknown,40.3983516,-3.6406346,False,False,False
,bar,unknown,40.4002907,-3.637078,False,False,False
Terraza El Rocio,bar,unknown,40.3972641,-3.6413254,False,False,False
,bar,unknown,40.396664,-3.6416463,False,False,False
Polo,restaurant,unknown,40.4473405,-3.5338169,False,False,False
A'Brasas,restaurant,parrilla,40.3796168,-3.7257576,False,False,False
Lar de Domingo,restaurant,unknown,40.5141433,-3.7639153,False,False,False
El Merendero,restaurant,unknown,40.4105319,-3.7499963,False,False,False
La Gruta,cafe,ice_cream,40.418281,-3.6828953,True,False,False
Nájera,restaurant,unknown,40.4349308,-3.7133349,False,False,False
Terraza Restaurante La promesa,cafe,unknown,40.450338,-3.6573685,False,False,False
Asador Ricardo,restaurant,unknown,40.5212469,-3.7789095,False,False,False
Bar Restaurante Emaus,restaurant,spanish,40.4205502,-3.6783029,False,False,False
Fass,restaurant,german,40.4514599,-3.678433,False,False,False
Revoltosa,bar,unknown,40.4512128,-3.6770817,True,False,False
La Tragantía,restaurant,unknown,40.4512149,-3.6772063,True,False,False
La Ancha,restaurant,unknown,40.4493577,-3.6775549,False,False,False
La Vaca Picada,restaurant,burger,40.5087682,-3.667127,False,False,False
BLT - Barra Libre de Tapas,restaurant,unknown,40.4709742,-3.5813432,False,False,False
,restaurant,pizza,40.4233171,-3.702338,False,False,False
Egunon,bar,unknown,40.4697022,-3.586124,False,False,False
Lupara Bar,restaurant,italian,40.4696892,-3.5857412,False,False,False
Shyk,bar,unknown,40.4697057,-3.5872112,False,False,False
El Liberal,restaurant,american,40.4697035,-3.5875248,False,False,False
La Estrella de Oriente,restaurant,unknown,40.4701097,-3.5833353,False,False,False
Tria,restaurant,unknown,40.4773452,-3.6877112,False,False,True
Pulpería Las Torres,restaurant,unknown,40.4776165,-3.6877145,False,False,True
Lobato,restaurant,unknown,40.4724643,-3.6506245,False,False,False
Popa,restaurant,unknown,40.462182,-3.6701079,False,False,False
La Mano de Pablo,restaurant,regional,40.5111716,-3.6714025,False,False,False
Starbucks,cafe,coffee_shop,40.4218603,-3.7080944,False,False,True
Beefcious,restaurant,burger,40.5119108,-3.6702707,False,False,False
La Mezza,restaurant,unknown,40.5115941,-3.6696293,False,False,False
,restaurant,unknown,40.506225,-3.6679161,False,False,False
Starbucks,cafe,coffee_shop,40.4087536,-3.6929385,True,False,False
El Mesón de Fuencarral,restaurant,regional,40.5289203,-3.6935078,False,False,False
100 Montaditos,restaurant,sandwich,40.4861319,-3.6660539,False,False,False
Foster's Hollywood,restaurant,american,40.4864162,-3.6662334,False,False,False
,restaurant,regional,40.4882786,-3.6887416,False,False,False
Los Montes de Galicia,restaurant,regional,40.4347469,-3.6682597,False,False,False
El meson de la Piovera,restaurant,unknown,40.4525881,-3.6160906,False,False,False
Lady Macao,restaurant,unknown,40.5081428,-3.6685214,False,False,False
Los Dos Amigos,cafe,unknown,40.4244873,-3.7103465,False,False,False
Starbucks,cafe,coffee_shop,40.4231601,-3.7108488,True,False,False
El Vergel,restaurant,unknown,40.4241504,-3.7249779,False,False,False
El Urogallo,restaurant,spanish,40.4232064,-3.7231611,False,False,False
El Inti de Oro,restaurant,peruvian,40.415621,-3.6989812,False,False,False
El Subastero de Málaga,restaurant,regional,40.4164715,-3.6991796,False,False,False
Restaurante La Catedral,restaurant,unknown,40.4166035,-3.7010637,False,False,False
Artemisa,restaurant,unknown,40.4160137,-3.6989734,False,False,False
El Tronco,restaurant,regional,40.4151898,-3.6992792,False,False,False
Bar Hawaiano Mauna Loa,bar,hawaiian,40.4143568,-3.7011949,False,False,False
